|text|tensor|score
0|"у автора куча идей, но кошмарен язык и рваный сюжет прочитал с ОГРОМНЫМ трудом, именно ради ""идей"" читать не советую"|[-6.779619 -7.326301 -6.494789 ... -7.238015 -2.797715 -4.638234]|3
1|После Сиальских хроник ожидал от Пехова чего то большего. А так, книга как книга. Не затянула и не впечатлила.|[-7.5951047 -8.087702  -7.648301  ... -7.126202  -3.4674804 -6.770341 ]|3
2|Сразу хочу сказать, что Ритуал ? это чисто и исключительно женский роман в том плане, в котором я его понимаю, то есть ИМХО. Что не понравилось. Штампы, кругом штампы, которые встретишь, если не фэнтезийный книгах, то уж точно в куче мелодрам. Второе, мне совершенно не понятны были поступки героев (ну не могут вести себя так нормальные люди). Знаете, я еще заметил, что как правило в произведениях, написанных женщинами, мужики обычно не похожи на мужиков, и тут это представлено совершенно наглядно. Особенно в Горелой башне ? не парень, а какая-то истеричная, безвольная девушка, если не сказать грубее. Не покидает ощущение наивности и надуманности всего происходящего. И даже красивый, образный язык местами смотрится совершенно не к месту (зачем, к примеру, описывать как дышало море, когда в воде из последних сил барахтается Юта, которую в любой момент может долбануть о скалы?). Главная героиня под конец стала совершенно раздражать ? капризная и глупая особа, которая чуть не погубила дракона и погубила неплохого правителя. Что еще не понравилось? Ружья развесили, а вот пострелять из них забыли. Например ничего не сказано о том, кто спит под замком. Хорошо, хоть Юкка под конец вылез. В довесок скажу, что сюжет банален и прозрачен до невозможности ? уже с первых страниц было ясно чем это все кончится. Не знаю насчет философии - это скорее проза образов и эмоций. Краски настроения, а не мазки действия. Мало радостного, однако, вполне понимаю, что тот же Ритуал может понравиться многим, просто это будут люди с совершенно другими вкусами, нежели у меня.|[-7.744769  -9.962082  -9.546293  ... -6.9448915 -3.780985  -7.759807 ]|3
3|Черезмерно затянуто. Содержание не соответствует анонсу. В наличии много психологических несоответствий.|[-7.5297737 -7.97693   -8.642317  ... -8.939757  -3.6856425 -2.8451874]|3
4|скучно только для фанатов Перумова и сериала о Фесе|[-7.3818097 -9.161561  -8.1343355 ... -8.795107  -6.0787425 -4.773444 ]|3
5|"К сожалению эта книга, на мой взгляд, значительно слабее ""Дозоров"" и по сюжету, и по стилю. Любовная история кажется искусственно вставленной.Раздражает также реклама пива. И вообще книга, похоже, написана по заказу Дневного Дозора, что нарушает Равновесие.Куда смотрит Инквизиция???"|[-6.920895  -8.191172  -8.595699  ... -8.769881  -3.4123266 -4.941363 ]|3
6|"Неинтересно. Единственной причиной популярности книги мне представляется возможность читать любимую многими порнографию и при этом чувствовать себя ""культурными"". Типа, вот, литературу читаю... не все же кино смотреть. По сюжету отдаленно напоминает ""11 минут"", но у Коэльо главная героиня мне нравится, а Мелисса - совершенно несимпатична."|[-7.1831274 -7.704316  -7.957596  ... -8.870647  -4.0390816 -5.346098 ]|3
7|"Мне не понравилось. Очень много ошибок технического характера (например в описании сложности шифров), не говоря уж о поведении главных героев (""элита"" ведет себя не соотвествующим образом, нарушая правила, собой же и установленные). Жалко своего времени, на то, что читал эту книгу."|[-7.9733286 -8.429222  -8.43209   ... -8.304204  -3.6094568 -6.818673 ]|3
8|Очередной фиговенький роман, о котором через пару дней забуду. Больше похож на приключенческую новеллу, чем на детектив. Да, и кровавый черезчур, что для Абдуллаева не характерно. К сожалению, начиная читать одного понравившегося автора, покупаю все его книги, не пропуская ни одной, поэтому и приходится не всегда получать от чтива то удовольствие, которое хотелось бы получать.|[-6.7428145 -8.02079   -8.183531  ... -8.509199  -3.2855444 -5.906648 ]|3
9|Пробовал, но так и не смог понять, чем так нравится многим эта вещь. Читалась легко, но по прошествии одного дня - никаких эмоций.|"[ -8.904527  -10.41439    -9.115993  ...  -8.5733595  -4.7635627
  -7.110239 ]"|3
