|text|score
0|"у автора куча идей, но кошмарен язык и рваный сюжет прочитал с ОГРОМНЫМ трудом, именно ради ""идей"" читать не советую"|3
1|После Сиальских хроник ожидал от Пехова чего то большего. А так, книга как книга. Не затянула и не впечатлила.|3
2|Сразу хочу сказать, что Ритуал ? это чисто и исключительно женский роман в том плане, в котором я его понимаю, то есть ИМХО. Что не понравилось. Штампы, кругом штампы, которые встретишь, если не фэнтезийный книгах, то уж точно в куче мелодрам. Второе, мне совершенно не понятны были поступки героев (ну не могут вести себя так нормальные люди). Знаете, я еще заметил, что как правило в произведениях, написанных женщинами, мужики обычно не похожи на мужиков, и тут это представлено совершенно наглядно. Особенно в Горелой башне ? не парень, а какая-то истеричная, безвольная девушка, если не сказать грубее. Не покидает ощущение наивности и надуманности всего происходящего. И даже красивый, образный язык местами смотрится совершенно не к месту (зачем, к примеру, описывать как дышало море, когда в воде из последних сил барахтается Юта, которую в любой момент может долбануть о скалы?). Главная героиня под конец стала совершенно раздражать ? капризная и глупая особа, которая чуть не погубила дракона и погубила неплохого правителя. Что еще не понравилось? Ружья развесили, а вот пострелять из них забыли. Например ничего не сказано о том, кто спит под замком. Хорошо, хоть Юкка под конец вылез. В довесок скажу, что сюжет банален и прозрачен до невозможности ? уже с первых страниц было ясно чем это все кончится. Не знаю насчет философии - это скорее проза образов и эмоций. Краски настроения, а не мазки действия. Мало радостного, однако, вполне понимаю, что тот же Ритуал может понравиться многим, просто это будут люди с совершенно другими вкусами, нежели у меня.|3
3|Черезмерно затянуто. Содержание не соответствует анонсу. В наличии много психологических несоответствий.|3
4|скучно только для фанатов Перумова и сериала о Фесе|3
5|"К сожалению эта книга, на мой взгляд, значительно слабее ""Дозоров"" и по сюжету, и по стилю. Любовная история кажется искусственно вставленной.Раздражает также реклама пива. И вообще книга, похоже, написана по заказу Дневного Дозора, что нарушает Равновесие.Куда смотрит Инквизиция???"|3
6|"Неинтересно. Единственной причиной популярности книги мне представляется возможность читать любимую многими порнографию и при этом чувствовать себя ""культурными"". Типа, вот, литературу читаю... не все же кино смотреть. По сюжету отдаленно напоминает ""11 минут"", но у Коэльо главная героиня мне нравится, а Мелисса - совершенно несимпатична."|3
7|"Мне не понравилось. Очень много ошибок технического характера (например в описании сложности шифров), не говоря уж о поведении главных героев (""элита"" ведет себя не соотвествующим образом, нарушая правила, собой же и установленные). Жалко своего времени, на то, что читал эту книгу."|3
8|Очередной фиговенький роман, о котором через пару дней забуду. Больше похож на приключенческую новеллу, чем на детектив. Да, и кровавый черезчур, что для Абдуллаева не характерно. К сожалению, начиная читать одного понравившегося автора, покупаю все его книги, не пропуская ни одной, поэтому и приходится не всегда получать от чтива то удовольствие, которое хотелось бы получать.|3
9|Пробовал, но так и не смог понять, чем так нравится многим эта вещь. Читалась легко, но по прошествии одного дня - никаких эмоций.|3
10|Пока я пытался читать это произведение, где-то сбоку моих скрипящих мозгов прыгала мысль, пыталась сформулироваться, что же это такое. И, только вот теперь я её ухватил и понял - это немного беллитризированных живой журнал. Смесь чьих-то воспоминаний, научно популярной физики (ну оччень популярной), философии. К литературе в моём понимании я это отнести не могу, не хватает основных компонент: сюжет, фабула, герои, наконец. В общем, книга вполне точно описывается названием - элементарные частицы. Люди, как элементарные частицы, носятся туда-сюда, с ними что-то происходит, они появляются-исчезают. Но так же, как с элементарными частицами, нет никакого единого стержня, всё абсолютно случайно. _Так что, если вы есть желание почитать нечто (мега-ЖЖ?), от чего можно оттолкнуться и уйти в свои мысли, то эта книга самое оно. Если же хочется литературы в классическом понимании - право, даже Иллиада и та намного динамичнее, связанней и легче в осознании ;)_ P.S. Видимо, некий пласт современной литературы явно не для меня - Миллер, Воннегут, теперь вот ещё и Уэльбек.|3
11|Нескромно:взять себе роль не менее, чем апостола Миссии в братстве с Биллом Гейтсом. На мой взгляд, едко и отсутствие должного уважения в рассуждениях о религии, Боге и т.д.Еле прочитала...|3
12|Дико раздражает стиль повествования. Дочитал, только ради того, чтобы знать чем закончится.|3
13|Я бы рекомендрвала читать смазливым и прыщавым подросткам во время переходного возраста. Грязно, склизско и никаких приятных ощущений от секеса в России! ..хоть за иностранца выходи..!!|3
14|"Любопытно, я человек поколения 70-х, но мировоззрение ни разу не рядом с тем, о чем пишет Минаев. Музыкальным пристрастиям суждено совпасть, но не более. Нас больше, мы совсем другие. Книга напоминает монолог обиженного циника, который противен сам себе, и упивается собственной персоной. Ни юмора, ни наблюдательности, ни гибкости мышления, ни трезвости взгляда. Сочинение из серии ""Как я провел лето/отпуск/рабочую неделю"". Автору - пора идти в люди, по методу Горького. Если поможет. Читать - психологическим мазохистам, остальные зря потратят время."|3
15|М-да, аля Космополитен торжествует. Обыкновенный образ гламурной девушки, к которой стараются приобщится современне женщины...|3
16|Рекомендация: не тратить деньги на покупку этой книги.|3
17|Мне, сисадмину, отвечающему за безопасность сети и информации, книжка показалась слишком наивной. Если бы не алгоритм шифрования с помощью колоды карт (собственно, из-за него и стал читать случайно обнаружив упоминание книжки в блоге Брюса Шнейера), то посчитал бы время потерянным бездарно... Хорошо хоть опечатки первого издания оказались исправлены и исходниками на Perl действительно можно пользоваться...|3
18|Скучно и неувлекательно. Не трогает .|3
19|Анаис Нин статус не позволял не быть творческой личностью. Видимо рисовать она не могла - и поэтому писала. Не ужас-ужас, но достоинства сомнительные.|3
20|Глупая пародия на Толкина! Читать скучно и неинтересно! Валары становятся плохими, Саруман - хорошим...бред!|3
21|Слишком много калек из 99 франков Бегбедера, да и понятно все становится странице на 20. А так, совершенно непримечательное чтиво, не цепляет|3
22|Можно полистать, как журнал, отличная полиграфия, но читать нечего.|3
23|"произведения маркиза де сада вообще являют собой не яростное утверждение ""садо-мазохистического атеизма"",а,по моему сугубо-субъективному мнению,поиски опровержения явных законов взаимопожирания. в частности по этой причине я не позволяю невежественным критикам оспаривать права на существование этих произведений."|3
24|"автор,изобличая в себе заядлого репортера,смешал правду с неправдой и дешевые трюки ""детективного жанра"" с попсой в религии. диковинная смесь,но если Вы не знакомы с материалом и не против пресловутого ""детективного жанра"", то скорее всего Вам понравиться."|3
25|"Читается легко, но сюжет стремный: ангел с элементами черта (девочка),и черт с задатками ангела(мальчик) должны помочь душе мертвой женщины(которая не занималась воспитанием собственного ребенка, но теперь ужасно переживает как он там без неё, с отцом алкоголиком, один остался)попасть в рай. Отец - безответственный алкоголик, убивший свою жену. Сын - инфантильный неврастеник, мечтающий убить отца. О матере было выше. И все они должны, в перспективе исправиться, и попасть в рай. Бред. А черт и ангел, влюбившись друг в друга, являются основоположниками чертовски-ангельского, или ангельски-чертовского слияния рая и ада ( ""одну работу делаем - людям помогаем...""). Полный бред. На середине хотел выкинуть, но любопытство в отношении развития идей автора победило - выкинул, когда прочитал."|3
26|Зюскинд - мастер. Язык, стиль, сюжет, интрига - все на высоте. Но роман читать неприятно поскольку невероятно отвратителен главный герой. Зачем писать книгу, вызывающую отвращение и негативные эмоции при чтении?|3
27|Сюжета как такового нет. Конфликта нет. От того, что бравый солдат превратил сказочных персонажей в алкоголиков, смешно не становится (хотя позиционируется как юмористическое произведение). Штатный рецензент, правда, нашел в книге глубокий скрытый смысл... Но читателям искать не стоит. Никакого смысла там нет. Есть писательская бездарность и желание срубить бабок.|3
